id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
725109427251790186,"3 b/r Unit with pool, gym& jaccuzi(+1parking 50pw)",$278.57,4,3.0,Entire home/apt,5.0,Ryde,1
981719515630206908,Spacious Studio with Garden close 2train&Westfield,$261.00,4,,Private room,4.6,Hornsby,35
1198051293701623179,"Modern, convenient Bondi pad",$359.00,2,1.0,Entire home/apt,4.91,Waverley,44
1559767056016022158,Z-SYD Zetland 2BR 228 Apt Close to CBD & Airport,,4,2.0,Entire home/apt,4.33,Sydney,3
597052372272812789,"Luxe Retreat - Pool, Spa, Sauna, Gym & Cinema","$3,557.80",14,6.0,Entire home/apt,5.0,Waverley,16
1488310086566488640,Cozy Double Room Chippendale Shared Spaces,$203.00,2,,Private room,2.0,Sydney,2
1434764055234730596,'Nomadic' ·2BR Apt in Burwood near OlympicPark/CBD,$318.00,4,2.0,Entire home/apt,5.0,Burwood,40
52534602,Neighbourhood By TWT - The Divinyls Heritage Apt,$225.00,2,1.0,Entire home/apt,4.79,Waverley,141
1211139540439480552,Clovelly Villa,"$2,417.71",7,4.0,Entire home/apt,,Randwick,0
613260661679644653,Beautiful 5 bedroom home with Sydney Harbour views,,8,5.0,Entire home/apt,4.89,Manly,38
974683454129735019,North Bondi Poolside ~4 bedrooms ~Pool ~ Parking,"$3,159.00",7,4.0,Entire home/apt,,Waverley,0
1108979094160029490,Spacious Inner West apartment with terrace,$254.14,2,1.0,Entire home/apt,4.81,Marrickville,16
1358619229985008207,Room 4 in Hurstville,,2,,Private room,4.0,City Of Kogarah,3
1292251689744634670,Neutral Bay Studio | Relaxed living x harbour view,,2,1.0,Entire home/apt,3.67,North Sydney,6
1173529788511238371,Meadowview Haven,$136.32,4,2.0,Entire home/apt,4.93,Ryde,14
995158061657395151,Fairlight Beach House,$829.78,8,5.0,Entire home/apt,,Manly,0
1394481190279349201,"Nordic Serenity, North Bondi ISYD -2 mins to Beach",,4,2.0,Entire home/apt,5.0,Waverley,2
1648837132553606837,"Bondi Junction Apt | Shops, Transport & Beach",$273.00,4,1.0,Entire home/apt,5.0,Waverley,10
1524893642799189215,Maroota Ridge Cabins - 5,$220.00,2,1.0,Entire home/apt,,The Hills Shire,0
1565241515037284955,burwood central  quiet Queen bed（share bathroom）,$94.00,2,1.0,Private room,,Burwood,0
651539387957236549,Bright Home in Trendy Newtown close to the Park,$661.00,6,3.0,Entire home/apt,4.91,Sydney,34
29641938,"Small but Clean & neat, your home while you travel",$16.99,2,,Private room,4.0,Blacktown,1
1597408357671394669,Eastgardens 2BR/2BA | 2 Parking + Shops,$320.50,6,2.0,Entire home/apt,4.56,Botany Bay,9
976570546906830485,"Sydney Rd Manly,  Walk to Beach, Shops and Cafes",$394.00,3,1.0,Entire home/apt,4.87,Manly,79
1622071182868334088,Cockatoo Epping | Rooftop Terrace| Walk to Station,$334.00,4,1.0,Entire home/apt,5.0,Hornsby,7
1340151762008860468,Sunny Maroubra Beach Pad,$187.16,2,1.0,Private room,,Randwick,0
1119360112142620217,Luxury Private Bedroom with pool,$108.50,2,1.0,Private room,4.67,Auburn,60
935432366248313524,HolidayRento Bondi Rooftop Pool & Oceanview Studio,$409.50,2,1.0,Entire home/apt,4.75,Waverley,40
39139649,Entire Local Unit for Holiday,$276.99,2,1.0,Entire home/apt,,Sydney,0
1111206992396937849,Saint Mary - Luxury Home Close to RPA,,6,3.0,Entire home/apt,4.95,Marrickville,38
1460025820927801591,Spacious art deco apartment,,2,1.0,Entire home/apt,,Woollahra,0
1077115987961102452,Werrington County Hideaway,$471.43,6,3.0,Entire home/apt,4.67,Penrith,3
46590774,Modern Studio in Darlington - Sydney,,2,1.0,Entire home/apt,4.6,Sydney,81
1561248763637325353,"House in Chatswood Comfortable, Excellent value",$296.50,7,4.0,Entire home/apt,4.71,Willoughby,7
49838998,Bondi Luxury Apartment with Views and Parking,"$1,124.67",6,3.0,Entire home/apt,5.0,Waverley,27
1573536206184492430,Waterloo Broome | Bright 2 Bed 2 Bath Gem,$217.00,4,2.0,Entire home/apt,,Sydney,0
32138628,Compact Double - Hotel Challis Potts Point,$164.70,2,,Hotel room,4.52,Sydney,783
