student_id,gender,math,read,science,book,escs
3600436,male,508.2,518.2,489.9,101-200,0.5
3600437,male,658.1,692.9,609.4,201-500,1.5
3600439,female,365.8,496.8,404.1,201-500,1.3
3600442,female,346.8,468.5,430.0,11-25,0.2
3600443,female,360.5,352.9,411.0,11-25,0.7
3600449,female,396.2,458.3,386.4,101-200,1.3
3600451,male,606.4,555.5,637.3,201-500,1.3
3600452,female,690.7,626.4,674.0,more than 500,1.4
3600455,female,545.5,458.2,542.0,26-100,0.7
3600457,male,474.2,393.5,452.4,26-100,-0.3
3600459,male,471.7,448.0,568.0,101-200,0.7
3600460,male,443.1,580.8,477.5,more than 500,0.9
3600461,male,324.2,252.7,330.1,101-200,1.0
3600462,male,460.7,398.8,483.5,201-500,-0.3
3600464,male,531.9,561.4,631.6,101-200,0.5
3600467,female,556.6,619.7,663.1,201-500,0.8
3600468,female,558.5,554.4,579.5,more than 500,0.1
3600469,female,327.0,305.2,308.8,11-25,-0.8
3600474,male,350.3,357.5,465.8,11-25,0.1
3600475,female,506.0,585.8,508.7,more than 500,1.0
3600476,female,540.2,500.2,553.6,101-200,-0.7
3600478,male,429.7,442.8,411.2,201-500,-0.6
3600480,female,495.7,546.2,477.6,201-500,0.1
3600481,male,496.2,507.7,567.2,101-200,0.9
3600482,female,282.1,381.2,288.7,101-200,1.1
3600483,male,691.1,605.0,622.3,more than 500,1.6
3600484,female,400.6,503.6,501.6,26-100,-0.3
3600486,male,506.6,444.9,525.7,more than 500,0.3
3600488,female,640.9,678.2,607.1,201-500,1.6
3600489,female,364.1,408.1,355.5,101-200,0.7
3600490,male,455.5,513.7,458.8,26-100,0.5
3600491,female,416.8,405.9,458.0,26-100,-0.9
3600492,male,398.9,443.1,460.3,11-25,0.6
3600494,male,563.8,567.9,689.6,26-100,0.7
3600499,male,391.9,425.3,449.8,0-10,0.1
3600500,female,431.8,502.9,435.9,101-200,0.7
3600504,female,567.3,600.0,655.7,201-500,1.1
3600506,female,388.8,328.6,411.4,more than 500,1.2
3600508,female,461.0,532.5,568.0,101-200,0.2
3600509,female,557.3,622.9,611.8,201-500,1.1
3600511,female,468.6,479.9,500.4,11-25,-1.2
3600512,female,547.6,577.5,597.1,201-500,0.9
3600513,male,424.0,356.2,366.3,101-200,-0.7
3600514,male,376.3,343.4,399.2,26-100,1.2
